name,date,nav
T0318Y 第一金大中華,2019/5/29,24.57
T0318Y 第一金大中華,2019/5/28,24.58
T0318Y 第一金大中華,2019/5/27,24.59
T0318Y 第一金大中華,2019/5/24,24.67
T0318Y 第一金大中華,2019/5/23,24.73
T0318Y 第一金大中華,2019/5/22,24.99
T0318Y 第一金大中華,2019/5/21,25.02
T0318Y 第一金大中華,2019/5/20,24.87
T0318Y 第一金大中華,2019/5/17,24.86
T0318Y 第一金大中華,2019/5/16,25.16
T0318Y 第一金大中華,2019/5/15,25.45
T0318Y 第一金大中華,2019/5/14,25.32
T0318Y 第一金大中華,2019/5/13,25.32
T0318Y 第一金大中華,2019/5/10,25.75
T0318Y 第一金大中華,2019/5/9,25.78
T0318Y 第一金大中華,2019/5/8,26.3
T0318Y 第一金大中華,2019/5/7,26.38
T0318Y 第一金大中華,2019/5/6,26.08
T0318Y 第一金大中華,2019/5/3,26.56
T0318Y 第一金大中華,2019/5/2,26.2
T0318Y 第一金大中華,2019/4/30,26.12
T0318Y 第一金大中華,2019/4/29,25.95
T0318Y 第一金大中華,2019/4/26,26.01
T0318Y 第一金大中華,2019/4/25,26.24
T0318Y 第一金大中華,2019/4/24,26.23
T0318Y 第一金大中華,2019/4/23,26.24
T0318Y 第一金大中華,2019/4/22,26.19
T0318Y 第一金大中華,2019/4/19,26.18
T0318Y 第一金大中華,2019/4/18,26.14
T0318Y 第一金大中華,2019/4/17,26.16
T0318Y 第一金大中華,2019/4/16,26.12
T0318Y 第一金大中華,2019/4/15,25.92
T0318Y 第一金大中華,2019/4/12,25.78
T0318Y 第一金大中華,2019/4/11,25.78
T0318Y 第一金大中華,2019/4/10,25.96
T0318Y 第一金大中華,2019/4/9,26.03
T0318Y 第一金大中華,2019/4/8,25.85
T0318Y 第一金大中華,2019/4/3,25.74
T0318Y 第一金大中華,2019/4/2,25.72
T0318Y 第一金大中華,2019/4/1,25.52
T0318Y 第一金大中華,2019/3/29,25.53
T0318Y 第一金大中華,2019/3/28,25.18
T0318Y 第一金大中華,2019/3/27,25.24
T0318Y 第一金大中華,2019/3/26,25.2
T0318Y 第一金大中華,2019/3/25,25.06
T0318Y 第一金大中華,2019/3/22,25.44
T0318Y 第一金大中華,2019/3/21,25.4
T0318Y 第一金大中華,2019/3/20,25.19
T0318Y 第一金大中華,2019/3/19,25.1
T0318Y 第一金大中華,2019/3/18,25.12
T0318Y 第一金大中華,2019/3/15,24.9
T0318Y 第一金大中華,2019/3/14,24.61
T0318Y 第一金大中華,2019/3/13,24.58
T0318Y 第一金大中華,2019/3/12,24.5
T0318Y 第一金大中華,2019/3/11,24.35
T0318Y 第一金大中華,2019/3/8,24.21
T0318Y 第一金大中華,2019/3/7,24.3
T0318Y 第一金大中華,2019/3/6,24.54
T0318Y 第一金大中華,2019/3/5,24.46
T0318Y 第一金大中華,2019/3/4,24.64
T0318Y 第一金大中華,2019/2/27,24.73
T0318Y 第一金大中華,2019/2/26,24.84
T0318Y 第一金大中華,2019/2/25,24.87
T0318Y 第一金大中華,2019/2/22,24.68
T0318Y 第一金大中華,2019/2/21,24.75
T0318Y 第一金大中華,2019/2/20,24.76
T0318Y 第一金大中華,2019/2/19,24.5
T0318Y 第一金大中華,2019/2/18,24.55
T0318Y 第一金大中華,2019/2/15,24.33
T0318Y 第一金大中華,2019/2/14,24.42
T0318Y 第一金大中華,2019/2/13,24.49
T0318Y 第一金大中華,2019/2/12,24.54
T0318Y 第一金大中華,2019/2/11,24.44
T0318Y 第一金大中華,2019/1/30,24.02
T0318Y 第一金大中華,2019/1/29,23.84
T0318Y 第一金大中華,2019/1/28,24.01
T0318Y 第一金大中華,2019/1/25,23.99
T0318Y 第一金大中華,2019/1/24,23.85
T0318Y 第一金大中華,2019/1/23,23.8
T0318Y 第一金大中華,2019/1/22,23.77
T0318Y 第一金大中華,2019/1/21,23.9
T0318Y 第一金大中華,2019/1/18,23.9
T0318Y 第一金大中華,2019/1/17,23.7
T0318Y 第一金大中華,2019/1/16,23.85
T0318Y 第一金大中華,2019/1/15,23.82
T0318Y 第一金大中華,2019/1/14,23.48
T0318Y 第一金大中華,2019/1/11,23.5
T0318Y 第一金大中華,2019/1/10,23.37
T0318Y 第一金大中華,2019/1/9,23.41
T0318Y 第一金大中華,2019/1/8,23.19
T0318Y 第一金大中華,2019/1/7,23.12
T0318Y 第一金大中華,2019/1/4,22.76
T0318Y 第一金大中華,2019/1/3,23.03
T0318Y 第一金大中華,2019/1/2,23.07
T0318Y 第一金大中華,2018/12/28,23.26
T0318Y 第一金大中華,2018/12/27,22.98
T0318Y 第一金大中華,2018/12/26,22.56
T0318Y 第一金大中華,2018/12/25,22.64
T0318Y 第一金大中華,2018/12/24,22.86
T0318Y 第一金大中華,2018/12/22,22.82
T0318Y 第一金大中華,2018/12/21,22.94
T0318Y 第一金大中華,2018/12/20,22.87
T0318Y 第一金大中華,2018/12/19,22.99
T0318Y 第一金大中華,2018/12/18,22.99
T0318Y 第一金大中華,2018/12/17,23.15
T0318Y 第一金大中華,2018/12/14,23.3
T0318Y 第一金大中華,2018/12/13,23.37
T0318Y 第一金大中華,2018/12/12,23.33
T0318Y 第一金大中華,2018/12/11,23.13
T0318Y 第一金大中華,2018/12/10,22.89
T0318Y 第一金大中華,2018/12/7,23.15
