name,date,nav
T0102Y 兆豐國際第一,2019/5/29,12.55
T0103Y 兆豐國際國民,2019/5/29,20.83
T0110Y 兆豐豐台灣,2019/5/29,32.6
T0336Y 第一金創新,2019/5/29,19.81
T0406Y 匯豐成功,2019/5/29,43.76
T0408Y 匯豐龍鳳A,2019/5/29,49.59
T0415Y 匯豐台灣精典,2019/5/29,22.99
T0502Y 元多福,2019/5/29,48.46
T0503Y 元大多多基金,2019/5/29,15.45
T0504Y 元卓越,2019/5/29,41.65
T0509Y 元大經貿基金,2019/5/29,33.96
T0567Y 元2001,2019/5/29,56.09
T0601Y 景順潛力,2019/5/29,29.69
T0606Y 景順主流,2019/5/29,15.74
T0705Y 瀚亞外銷,2019/5/29,36.94
T0708Y 瀚亞菁華,2019/5/29,19.99
T0802Y 保德信高成長Aa,2019/5/29,88.7
T0803Y 保德信金滿意,2019/5/29,39.96
T0807Y 保德信第一,2019/5/29,24.54
T0812Y 保德信新世紀,2019/5/29,10.14
T0901Y 統一統信,2019/5/29,26.91
T0902Y 統一全天候A,2019/5/29,98.73
T0903Y 統一黑馬,2019/5/29,52.93
T0904Y 統一龍馬,2019/5/29,59.05
T0909Y 統一經建,2019/5/29,41.94
T0911Y 統一大滿貫A,2019/5/29,30.71
T0922Y 統一台灣動力,2019/5/29,15.88
T1001Y 富邦FB A,2019/5/29,12.31
T1004Y 富邦精準,2019/5/29,41.14
T1005Y 富邦長紅,2019/5/29,55.74
T1011Y 富邦高成長,2019/5/29,21.51
T1017Y 富邦台灣心,2019/5/29,19.96
T1102Y 摩根台灣增長,2019/5/29,46.42
T1135Y 摩根台灣金磚A,2019/5/29,18.34
T1201Y 華南永昌永昌,2019/5/29,18.37
T1408Y 新光大三通,2019/5/29,17.53
T1411Y 新光台灣富貴,2019/5/29,22.05
T1601Y 群益奧斯卡,2019/5/29,26.61
T1603Y 群益葛萊美,2019/5/29,21.23
T1609Y 群益馬拉松A,2019/5/29,109.8
T1613Y 群益長安,2019/5/29,27.42
T1701Y 德信大發,2019/5/29,27.91
T1802Y 聯博大利,2019/5/29,32.86
T2003Y 日盛上選Aa,2019/5/29,31.5
T2005Y 日盛精選五虎,2019/5/29,33.86
T2007Y 日盛基金,2019/5/29,10.49
T2030Y 日盛首選,2019/5/29,15.88
T2036Y 日盛MIT 主流,2019/5/29,14.4
T2101Y 柏瑞巨人,2019/5/29,12.18
T2203Y 復華基金,2019/5/29,19.9
T2216Y 復華全方位,2019/5/29,27.05
T2501Y 永豐永豐Aa,2019/5/29,31.33
T2703Y 宏利台灣動力Aa,2019/5/29,27.76
T3101Y 貝萊德寶利基金,2019/5/29,25.47
T3201Y 野村優質,2019/5/29,32.12
T3203Y 野村成長,2019/5/29,27.63
T3218Y 野村台灣運籌,2019/5/29,32.75
T3219Y 野村鴻運,2019/5/29,17.73
T3223Y 野村積極成長,2019/5/29,11.69
T3501Y 鋒裕匯理阿波羅Aa,2019/5/29,9.86
T3601Y 安聯台灣大壩,2019/5/29,27.42
T3619Y 安聯台灣智慧,2019/5/29,30.09
T3701Y 國泰國泰A,2019/5/29,20.68
T3714Y 國泰小龍,2019/5/29,13.68
T4001Y 德銀遠東DWS 台灣,2019/5/29,14.24
T4101Y 凱基開創,2019/5/29,25.7
T4112Y 凱基台灣精五門,2019/5/29,19.2
T4301Y 華頓台灣,2019/5/29,20.94
T4502Y 富蘭克林華美第一,2019/5/29,35.78
T4511Y 富蘭克林華美傳產,2019/5/29,20.97
T4706Y 台新主流,2019/5/29,22.27
T4801Y 合庫台灣基金,2019/5/29,10.28
T0102Y 兆豐國際第一,2019/5/28,12.61
T0103Y 兆豐國際國民,2019/5/28,20.86
T0110Y 兆豐豐台灣,2019/5/28,32.7
T0336Y 第一金創新,2019/5/28,19.89
T0406Y 匯豐成功,2019/5/28,43.69
T0408Y 匯豐龍鳳A,2019/5/28,49.61
T0415Y 匯豐台灣精典,2019/5/28,23
T0502Y 元多福,2019/5/28,48.54
T0503Y 元大多多基金,2019/5/28,15.56
T0504Y 元卓越,2019/5/28,41.63
T0509Y 元大經貿基金,2019/5/28,34.01
T0567Y 元2001,2019/5/28,56.33
T0601Y 景順潛力,2019/5/28,29.81
T0606Y 景順主流,2019/5/28,15.8
T0705Y 瀚亞外銷,2019/5/28,36.99
T0708Y 瀚亞菁華,2019/5/28,20.04
T0802Y 保德信高成長Aa,2019/5/28,88.6
T0803Y 保德信金滿意,2019/5/28,39.67
T0807Y 保德信第一,2019/5/28,24.49
T0812Y 保德信新世紀,2019/5/28,10.13
T0901Y 統一統信,2019/5/28,27.03
T0902Y 統一全天候A,2019/5/28,99.53
T0903Y 統一黑馬,2019/5/28,53.46
T0904Y 統一龍馬,2019/5/28,59.33
T0909Y 統一經建,2019/5/28,42.24
T0911Y 統一大滿貫A,2019/5/28,30.81
T0922Y 統一台灣動力,2019/5/28,15.98
T1001Y 富邦FB A,2019/5/28,12.33
T1004Y 富邦精準,2019/5/28,40.89
T1005Y 富邦長紅,2019/5/28,55.76
T1011Y 富邦高成長,2019/5/28,21.53
T1017Y 富邦台灣心,2019/5/28,19.97
T1102Y 摩根台灣增長,2019/5/28,46.5
T1135Y 摩根台灣金磚A,2019/5/28,18.4
T1201Y 華南永昌永昌,2019/5/28,18.28
T1408Y 新光大三通,2019/5/28,17.51
T1411Y 新光台灣富貴,2019/5/28,22.06
T1601Y 群益奧斯卡,2019/5/28,26.55
T1603Y 群益葛萊美,2019/5/28,21.27
T1609Y 群益馬拉松A,2019/5/28,110.32
T1613Y 群益長安,2019/5/28,27.48
T1701Y 德信大發,2019/5/28,28.07
T1802Y 聯博大利,2019/5/28,32.92
T2003Y 日盛上選Aa,2019/5/28,31.58
T2005Y 日盛精選五虎,2019/5/28,33.93
T2007Y 日盛基金,2019/5/28,10.5
T2030Y 日盛首選,2019/5/28,15.91
T2036Y 日盛MIT 主流,2019/5/28,14.38
T2101Y 柏瑞巨人,2019/5/28,12.23
T2203Y 復華基金,2019/5/28,19.96
T2216Y 復華全方位,2019/5/28,26.99
T2501Y 永豐永豐Aa,2019/5/28,31.3
T2703Y 宏利台灣動力Aa,2019/5/28,27.76
T3101Y 貝萊德寶利基金,2019/5/28,25.5
T3201Y 野村優質,2019/5/28,32.26
T3203Y 野村成長,2019/5/28,27.75
T3218Y 野村台灣運籌,2019/5/28,32.77
T3219Y 野村鴻運,2019/5/28,17.73
T3223Y 野村積極成長,2019/5/28,11.75
T3501Y 鋒裕匯理阿波羅Aa,2019/5/28,9.9
T3601Y 安聯台灣大壩,2019/5/28,27.38
T3619Y 安聯台灣智慧,2019/5/28,30.17
T3701Y 國泰國泰A,2019/5/28,20.8
T3714Y 國泰小龍,2019/5/28,13.77
T4001Y 德銀遠東DWS 台灣,2019/5/28,14.31
T4101Y 凱基開創,2019/5/28,25.74
T4112Y 凱基台灣精五門,2019/5/28,19.29
T4301Y 華頓台灣,2019/5/28,21.03
T4502Y 富蘭克林華美第一,2019/5/28,35.7
T4511Y 富蘭克林華美傳產,2019/5/28,21.03
T4706Y 台新主流,2019/5/28,22.26
T4801Y 合庫台灣基金,2019/5/28,10.31
T0102Y 兆豐國際第一,2019/5/27,12.62
T0103Y 兆豐國際國民,2019/5/27,20.81
T0110Y 兆豐豐台灣,2019/5/27,32.64
T0336Y 第一金創新,2019/5/27,19.83
T0406Y 匯豐成功,2019/5/27,43.96
T0408Y 匯豐龍鳳A,2019/5/27,49.68
T0415Y 匯豐台灣精典,2019/5/27,23.04
T0502Y 元多福,2019/5/27,48.46
T0503Y 元大多多基金,2019/5/27,15.51
T0504Y 元卓越,2019/5/27,41.5
T0509Y 元大經貿基金,2019/5/27,33.96
T0567Y 元2001,2019/5/27,56.11
T0601Y 景順潛力,2019/5/27,29.83
