name,date,nav
0050 元大台灣50,2019/5/29,76.66
0050 元大台灣50,2019/5/28,76.8
0050 元大台灣50,2019/5/27,76.98
0050 元大台灣50,2019/5/24,77.15
0050 元大台灣50,2019/5/23,76.81
0050 元大台灣50,2019/5/22,78.21
0050 元大台灣50,2019/5/21,78.15
0050 元大台灣50,2019/5/20,78.06
0050 元大台灣50,2019/5/17,78
0050 元大台灣50,2019/5/16,78.87
0050 元大台灣50,2019/5/15,79.52
0050 元大台灣50,2019/5/14,79.44
0050 元大台灣50,2019/5/13,79.98
0050 元大台灣50,2019/5/10,81.3
0050 元大台灣50,2019/5/9,81.39
0050 元大台灣50,2019/5/8,82.74
0050 元大台灣50,2019/5/7,83.28
0050 元大台灣50,2019/5/6,82.57
0050 元大台灣50,2019/5/3,84.06
0050 元大台灣50,2019/5/2,83.07
0050 元大台灣50,2019/4/30,82.87
0050 元大台灣50,2019/4/29,82.85
0050 元大台灣50,2019/4/26,82.71
0050 元大台灣50,2019/4/25,83.49
0050 元大台灣50,2019/4/24,83.48
0050 元大台灣50,2019/4/23,83.42
0050 元大台灣50,2019/4/22,82.96
0050 元大台灣50,2019/4/19,82.91
0050 元大台灣50,2019/4/18,83.02
0050 元大台灣50,2019/4/17,82.94
0050 元大台灣50,2019/4/16,82.3
0050 元大台灣50,2019/4/15,81.88
0050 元大台灣50,2019/4/12,81.26
0050 元大台灣50,2019/4/11,81.21
0050 元大台灣50,2019/4/10,81.6
0050 元大台灣50,2019/4/9,81.57
0050 元大台灣50,2019/4/8,81.08
0050 元大台灣50,2019/4/3,80.12
0050 元大台灣50,2019/4/2,80.1
0050 元大台灣50,2019/4/1,79.73
0050 元大台灣50,2019/3/29,79.59
0050 元大台灣50,2019/3/28,78.7
0050 元大台灣50,2019/3/27,78.69
0050 元大台灣50,2019/3/26,79.01
0050 元大台灣50,2019/3/25,78.26
0050 元大台灣50,2019/3/22,79.71
0050 元大台灣50,2019/3/21,79.33
0050 元大台灣50,2019/3/20,78.72
0050 元大台灣50,2019/3/19,78.41
0050 元大台灣50,2019/3/18,78.41
0050 元大台灣50,2019/3/15,77.83
0050 元大台灣50,2019/3/14,77.15
0050 元大台灣50,2019/3/13,77.49
0050 元大台灣50,2019/3/12,77.17
0050 元大台灣50,2019/3/11,76.22
0050 元大台灣50,2019/3/8,76.22
0050 元大台灣50,2019/3/7,77.05
0050 元大台灣50,2019/3/6,77.23
0050 元大台灣50,2019/3/5,76.81
0050 元大台灣50,2019/3/4,77.22
0050 元大台灣50,2019/2/27,77.91
0050 元大台灣50,2019/2/26,77.97
0050 元大台灣50,2019/2/25,77.9
0050 元大台灣50,2019/2/22,77.42
0050 元大台灣50,2019/2/21,77.29
0050 元大台灣50,2019/2/20,76.83
0050 元大台灣50,2019/2/19,75.68
0050 元大台灣50,2019/2/18,75.8
0050 元大台灣50,2019/2/15,75.14
0050 元大台灣50,2019/2/14,75.38
0050 元大台灣50,2019/2/13,75.64
0050 元大台灣50,2019/2/12,75.79
0050 元大台灣50,2019/2/11,75.08
0050 元大台灣50,2019/1/30,74.35
0050 元大台灣50,2019/1/29,74.46
0050 元大台灣50,2019/1/28,75.33
0050 元大台灣50,2019/1/25,74.97
0050 元大台灣50,2019/1/24,74.12
0050 元大台灣50,2019/1/23,73.79
0050 元大台灣50,2019/1/22,74.38
0050 元大台灣50,2019/1/21,76.45
0050 元大台灣50,2019/1/18,75.98
0050 元大台灣50,2019/1/17,75.78
0050 元大台灣50,2019/1/16,75.38
0050 元大台灣50,2019/1/15,75.89
0050 元大台灣50,2019/1/14,75.13
0050 元大台灣50,2019/1/11,75.59
0050 元大台灣50,2019/1/10,74.94
0050 元大台灣50,2019/1/9,75.02
0050 元大台灣50,2019/1/8,73.56
0050 元大台灣50,2019/1/7,73.82
0050 元大台灣50,2019/1/4,72.12
0050 元大台灣50,2019/1/3,73.37
0050 元大台灣50,2019/1/2,74.01
0050 元大台灣50,2018/12/28,75.69
0050 元大台灣50,2018/12/27,74.83
0050 元大台灣50,2018/12/26,73.48
0050 元大台灣50,2018/12/25,73.8
0050 元大台灣50,2018/12/24,74.67
0050 元大台灣50,2018/12/22,74.8
0050 元大台灣50,2018/12/21,75.18
0050 元大台灣50,2018/12/20,75.1
0050 元大台灣50,2018/12/19,76.02
0050 元大台灣50,2018/12/18,75.22
0050 元大台灣50,2018/12/17,75.68
0050 元大台灣50,2018/12/14,75.49
0050 元大台灣50,2018/12/13,76.22
0050 元大台灣50,2018/12/12,75.93
0050 元大台灣50,2018/12/11,74.96
0050 元大台灣50,2018/12/10,74.39
0050 元大台灣50,2018/12/7,75.31
0050 元大台灣50,2018/12/6,74.91
0050 元大台灣50,2018/12/5,76.75
0050 元大台灣50,2018/12/4,78.37
0050 元大台灣50,2018/12/3,78.83
0050 元大台灣50,2018/11/30,76.69
0050 元大台灣50,2018/11/29,76.91
0050 元大台灣50,2018/11/28,76.9
0050 元大台灣50,2018/11/27,76.07
0050 元大台灣50,2018/11/26,76.11
0050 元大台灣50,2018/11/23,75.23
