name,date,nav
T0311Y 第一金店頭,2019/05/29,7.23
T0311Y 第一金店頭,2019/05/28,7.24
T0311Y 第一金店頭,2019/05/27,7.22
T0311Y 第一金店頭,2019/05/24,7.25
T0311Y 第一金店頭,2019/05/23,7.31
T0311Y 第一金店頭,2019/05/22,7.38
T0311Y 第一金店頭,2019/05/21,7.38
T0311Y 第一金店頭,2019/05/20,7.32
T0311Y 第一金店頭,2019/05/17,7.41
T0311Y 第一金店頭,2019/05/16,7.62
T0311Y 第一金店頭,2019/05/15,7.79
T0311Y 第一金店頭,2019/05/14,7.7
T0311Y 第一金店頭,2019/05/13,7.68
T0311Y 第一金店頭,2019/05/10,7.83
T0311Y 第一金店頭,2019/05/09,7.88
T0311Y 第一金店頭,2019/05/08,8.07
T0311Y 第一金店頭,2019/05/07,8.14
T0311Y 第一金店頭,2019/05/06,8.01
T0311Y 第一金店頭,2019/05/03,8.26
T0311Y 第一金店頭,2019/05/02,8.19
T0311Y 第一金店頭,2019/04/30,8.17
T0311Y 第一金店頭,2019/04/29,8.02
T0311Y 第一金店頭,2019/04/26,8.22
T0311Y 第一金店頭,2019/04/25,8.4
T0311Y 第一金店頭,2019/04/24,8.4
T0311Y 第一金店頭,2019/04/23,8.42
T0311Y 第一金店頭,2019/04/22,8.45
T0311Y 第一金店頭,2019/04/19,8.46
T0311Y 第一金店頭,2019/04/18,8.43
T0311Y 第一金店頭,2019/04/17,8.49
T0311Y 第一金店頭,2019/04/16,8.48
T0311Y 第一金店頭,2019/04/15,8.41
T0311Y 第一金店頭,2019/04/12,8.33
T0311Y 第一金店頭,2019/04/11,8.37
T0311Y 第一金店頭,2019/04/10,8.4
T0311Y 第一金店頭,2019/04/09,8.42
T0311Y 第一金店頭,2019/04/08,8.43
T0311Y 第一金店頭,2019/04/03,8.35
T0311Y 第一金店頭,2019/04/02,8.31
T0311Y 第一金店頭,2019/04/01,8.27
T0311Y 第一金店頭,2019/03/29,8.26
T0311Y 第一金店頭,2019/03/28,8.2
T0311Y 第一金店頭,2019/03/27,8.22
T0311Y 第一金店頭,2019/03/26,8.25
T0311Y 第一金店頭,2019/03/25,8.24
T0311Y 第一金店頭,2019/03/22,8.3
T0311Y 第一金店頭,2019/03/21,8.33
T0311Y 第一金店頭,2019/03/20,8.28
T0311Y 第一金店頭,2019/03/19,8.28
T0311Y 第一金店頭,2019/03/18,8.24
T0311Y 第一金店頭,2019/03/15,8.22
T0311Y 第一金店頭,2019/03/14,8.15
T0311Y 第一金店頭,2019/03/13,8.11
T0311Y 第一金店頭,2019/03/12,8.11
T0311Y 第一金店頭,2019/03/11,8.05
T0311Y 第一金店頭,2019/03/08,8.02
T0311Y 第一金店頭,2019/03/07,8.01
T0311Y 第一金店頭,2019/03/06,8.2
T0311Y 第一金店頭,2019/03/05,8.12
T0311Y 第一金店頭,2019/03/04,8.16
T0311Y 第一金店頭,2019/02/27,8.16
T0311Y 第一金店頭,2019/02/26,8.1
T0311Y 第一金店頭,2019/02/25,8.11
T0311Y 第一金店頭,2019/02/22,8.11
T0311Y 第一金店頭,2019/02/21,8.14
T0311Y 第一金店頭,2019/02/20,8.14
T0311Y 第一金店頭,2019/02/19,8.08
T0311Y 第一金店頭,2019/02/18,8.05
T0311Y 第一金店頭,2019/02/15,7.96
T0311Y 第一金店頭,2019/02/14,8.05
T0311Y 第一金店頭,2019/02/13,8.1
T0311Y 第一金店頭,2019/02/12,8.07
T0311Y 第一金店頭,2019/02/11,7.99
T0311Y 第一金店頭,2019/01/30,7.77
T0311Y 第一金店頭,2019/01/29,7.71
T0311Y 第一金店頭,2019/01/28,7.74
T0311Y 第一金店頭,2019/01/25,7.7
T0311Y 第一金店頭,2019/01/24,7.64
T0311Y 第一金店頭,2019/01/23,7.61
T0311Y 第一金店頭,2019/01/22,7.6
T0311Y 第一金店頭,2019/01/21,7.67
T0311Y 第一金店頭,2019/01/18,7.69
T0311Y 第一金店頭,2019/01/17,7.62
T0311Y 第一金店頭,2019/01/16,7.71
T0311Y 第一金店頭,2019/01/15,7.72
T0311Y 第一金店頭,2019/01/14,7.57
T0311Y 第一金店頭,2019/01/11,7.65
T0311Y 第一金店頭,2019/01/10,7.59
T0311Y 第一金店頭,2019/01/09,7.63
T0311Y 第一金店頭,2019/01/08,7.6
T0311Y 第一金店頭,2019/01/07,7.51
T0311Y 第一金店頭,2019/01/04,7.4
T0311Y 第一金店頭,2019/01/03,7.51
T0311Y 第一金店頭,2019/01/02,7.52
T0311Y 第一金店頭,2018/12/28,7.52
T0311Y 第一金店頭,2018/12/27,7.5
T0311Y 第一金店頭,2018/12/26,7.39
T0311Y 第一金店頭,2018/12/25,7.46
T0311Y 第一金店頭,2018/12/24,7.64
T0311Y 第一金店頭,2018/12/22,7.59
T0311Y 第一金店頭,2018/12/21,7.61
T0311Y 第一金店頭,2018/12/20,7.59
T0311Y 第一金店頭,2018/12/19,7.67
T0311Y 第一金店頭,2018/12/18,7.66
T0311Y 第一金店頭,2018/12/17,7.77
T0311Y 第一金店頭,2018/12/14,7.83
T0311Y 第一金店頭,2018/12/13,7.85
T0311Y 第一金店頭,2018/12/12,7.78
T0311Y 第一金店頭,2018/12/11,7.63
T0311Y 第一金店頭,2018/12/10,7.51
T0311Y 第一金店頭,2018/12/07,7.65
T0311Y 第一金店頭,2018/12/06,7.5
T0311Y 第一金店頭,2018/12/05,7.77
T0311Y 第一金店頭,2018/12/04,7.99
T0311Y 第一金店頭,2018/12/03,8.09
T0311Y 第一金店頭,2018/11/30,7.89
T0311Y 第一金店頭,2018/11/29,7.82
T0311Y 第一金店頭,2018/11/28,7.8
T0311Y 第一金店頭,2018/11/27,7.68
T0311Y 第一金店頭,2018/11/26,7.56
T0311Y 第一金店頭,2018/11/23,7.47
T0311Y 第一金店頭,2018/11/22,7.52
T0311Y 第一金店頭,2018/11/21,7.6
T0311Y 第一金店頭,2018/11/20,7.54
T0311Y 第一金店頭,2018/11/19,7.58
T0311Y 第一金店頭,2018/11/16,7.57
T0311Y 第一金店頭,2018/11/15,7.58
T0311Y 第一金店頭,2018/11/14,7.53
T0311Y 第一金店頭,2018/11/13,7.51
T0311Y 第一金店頭,2018/11/12,7.48
T0311Y 第一金店頭,2018/11/09,7.51
T0311Y 第一金店頭,2018/11/08,7.52
T0311Y 第一金店頭,2018/11/07,7.52
T0311Y 第一金店頭,2018/11/06,7.42
T0311Y 第一金店頭,2018/11/05,7.45
T0311Y 第一金店頭,2018/11/02,7.47
T0311Y 第一金店頭,2018/11/01,7.46
T0311Y 第一金店頭,2018/10/31,7.43
T0311Y 第一金店頭,2018/10/30,7.34
T0311Y 第一金店頭,2018/10/29,7.37
T0311Y 第一金店頭,2018/10/26,7.37
T0311Y 第一金店頭,2018/10/25,7.45
T0311Y 第一金店頭,2018/10/24,7.55
T0311Y 第一金店頭,2018/10/23,7.52
T0311Y 第一金店頭,2018/10/22,7.66
T0311Y 第一金店頭,2018/10/19,7.63
T0311Y 第一金店頭,2018/10/18,7.65
T0311Y 第一金店頭,2018/10/17,7.63
T0311Y 第一金店頭,2018/10/16,7.58
T0311Y 第一金店頭,2018/10/15,7.57
T0311Y 第一金店頭,2018/10/12,7.57
T0311Y 第一金店頭,2018/10/11,7.4
T0311Y 第一金店頭,2018/10/09,7.85
T0311Y 第一金店頭,2018/10/08,7.97
T0311Y 第一金店頭,2018/10/05,8.03
T0311Y 第一金店頭,2018/10/04,8.32
T0311Y 第一金店頭,2018/10/03,8.39
T0311Y 第一金店頭,2018/10/02,8.49
T0311Y 第一金店頭,2018/10/01,8.56
T0311Y 第一金店頭,2018/09/28,8.54
T0311Y 第一金店頭,2018/09/27,8.51
T0311Y 第一金店頭,2018/09/26,8.54
T0311Y 第一金店頭,2018/09/25,8.69
T0311Y 第一金店頭,2018/09/21,8.69
T0311Y 第一金店頭,2018/09/20,8.57
T0311Y 第一金店頭,2018/09/19,8.66
T0311Y 第一金店頭,2018/09/18,8.68
T0311Y 第一金店頭,2018/09/17,8.94
T0311Y 第一金店頭,2018/09/14,8.93
T0311Y 第一金店頭,2018/09/13,8.85
T0311Y 第一金店頭,2018/09/12,8.87
T0311Y 第一金店頭,2018/09/11,8.88
T0311Y 第一金店頭,2018/09/10,8.94
T0311Y 第一金店頭,2018/09/07,9.23
T0311Y 第一金店頭,2018/09/06,9.56
T0311Y 第一金店頭,2018/09/05,9.67
T0311Y 第一金店頭,2018/09/04,9.81
T0311Y 第一金店頭,2018/09/03,9.66
T0311Y 第一金店頭,2018/08/31,10.04
T0311Y 第一金店頭,2018/08/30,10.01
T0311Y 第一金店頭,2018/08/29,9.9
T0311Y 第一金店頭,2018/08/28,9.8
T0311Y 第一金店頭,2018/08/27,9.82
T0311Y 第一金店頭,2018/08/24,9.5
T0311Y 第一金店頭,2018/08/23,9.58
T0311Y 第一金店頭,2018/08/22,9.67
T0311Y 第一金店頭,2018/08/21,9.79
T0311Y 第一金店頭,2018/08/20,9.61
T0311Y 第一金店頭,2018/08/17,9.63
T0311Y 第一金店頭,2018/08/16,9.69
T0311Y 第一金店頭,2018/08/15,9.48
T0311Y 第一金店頭,2018/08/14,9.74
T0311Y 第一金店頭,2018/08/13,9.58
T0311Y 第一金店頭,2018/08/10,10.11
T0311Y 第一金店頭,2018/08/09,10.32
T0311Y 第一金店頭,2018/08/08,10.29
T0311Y 第一金店頭,2018/08/07,10.51
T0311Y 第一金店頭,2018/08/06,10.38
T0311Y 第一金店頭,2018/08/03,10.26
T0311Y 第一金店頭,2018/08/02,10.14
T0311Y 第一金店頭,2018/08/01,10.51
T0311Y 第一金店頭,2018/07/31,10.48
T0311Y 第一金店頭,2018/07/30,10.54
T0311Y 第一金店頭,2018/07/27,10.94
T0311Y 第一金店頭,2018/07/26,10.88
T0311Y 第一金店頭,2018/07/25,10.73
T0311Y 第一金店頭,2018/07/24,10.56
T0311Y 第一金店頭,2018/07/23,10.34
T0311Y 第一金店頭,2018/07/20,10.28
T0311Y 第一金店頭,2018/07/19,10.61
T0311Y 第一金店頭,2018/07/18,10.6
T0311Y 第一金店頭,2018/07/17,10.8
T0311Y 第一金店頭,2018/07/16,10.96
T0311Y 第一金店頭,2018/07/13,11.06
T0311Y 第一金店頭,2018/07/12,11.01
T0311Y 第一金店頭,2018/07/11,10.76
T0311Y 第一金店頭,2018/07/10,10.9
T0311Y 第一金店頭,2018/07/09,10.52
T0311Y 第一金店頭,2018/07/06,10.48
T0311Y 第一金店頭,2018/07/05,10.26
T0311Y 第一金店頭,2018/07/04,10.61
T0311Y 第一金店頭,2018/07/03,10.83
T0311Y 第一金店頭,2018/07/02,10.98
T0311Y 第一金店頭,2018/06/29,10.83
T0311Y 第一金店頭,2018/06/28,10.63
T0311Y 第一金店頭,2018/06/27,10.67
T0311Y 第一金店頭,2018/06/26,10.58
T0311Y 第一金店頭,2018/06/25,10.36
T0311Y 第一金店頭,2018/06/22,10.39
T0311Y 第一金店頭,2018/06/21,10.77
T0311Y 第一金店頭,2018/06/20,10.56
T0311Y 第一金店頭,2018/06/19,10.84
T0311Y 第一金店頭,2018/06/15,11.21
T0311Y 第一金店頭,2018/06/14,11.17
T0311Y 第一金店頭,2018/06/13,11.19
T0311Y 第一金店頭,2018/06/12,11.41
T0311Y 第一金店頭,2018/06/11,11.41
T0311Y 第一金店頭,2018/06/08,11.16
T0311Y 第一金店頭,2018/06/07,11.28
T0311Y 第一金店頭,2018/06/06,11.3
T0311Y 第一金店頭,2018/06/05,10.97
T0311Y 第一金店頭,2018/06/04,11.25
T0311Y 第一金店頭,2018/06/01,11.13
T0311Y 第一金店頭,2018/05/31,11.1
T0311Y 第一金店頭,2018/05/30,11.21
T0311Y 第一金店頭,2018/05/29,11.2
T0311Y 第一金店頭,2018/05/28,11.24
T0311Y 第一金店頭,2018/05/25,10.95
T0311Y 第一金店頭,2018/05/24,10.78
T0311Y 第一金店頭,2018/05/23,10.69
T0311Y 第一金店頭,2018/05/22,10.79
T0311Y 第一金店頭,2018/05/21,10.88
T0311Y 第一金店頭,2018/05/18,10.69
T0311Y 第一金店頭,2018/05/17,10.54
T0311Y 第一金店頭,2018/05/16,10.89
T0311Y 第一金店頭,2018/05/15,11.01
T0311Y 第一金店頭,2018/05/14,10.94
T0311Y 第一金店頭,2018/05/11,10.44
T0311Y 第一金店頭,2018/05/10,10.29
T0311Y 第一金店頭,2018/05/09,10.02
T0311Y 第一金店頭,2018/05/08,9.88
T0311Y 第一金店頭,2018/05/07,9.97
T0311Y 第一金店頭,2018/05/04,9.69
T0311Y 第一金店頭,2018/05/03,9.8
T0311Y 第一金店頭,2018/05/02,9.92
T0311Y 第一金店頭,2018/04/30,9.87
T0311Y 第一金店頭,2018/04/27,9.72
T0311Y 第一金店頭,2018/04/26,9.56
T0311Y 第一金店頭,2018/04/25,9.77
T0311Y 第一金店頭,2018/04/24,9.63
T0311Y 第一金店頭,2018/04/23,10.09
T0311Y 第一金店頭,2018/04/20,10.27
T0311Y 第一金店頭,2018/04/19,10.44
T0311Y 第一金店頭,2018/04/18,10.33
T0311Y 第一金店頭,2018/04/17,10.2
T0311Y 第一金店頭,2018/04/16,10.38
T0311Y 第一金店頭,2018/04/13,10.27
T0311Y 第一金店頭,2018/04/12,10.14
T0311Y 第一金店頭,2018/04/11,10.12
T0311Y 第一金店頭,2018/04/10,10.04
T0311Y 第一金店頭,2018/04/09,10.01
T0311Y 第一金店頭,2018/04/03,9.81
T0311Y 第一金店頭,2018/04/02,9.71
T0311Y 第一金店頭,2018/03/31,9.71
T0311Y 第一金店頭,2018/03/30,9.74
T0311Y 第一金店頭,2018/03/29,9.7
T0311Y 第一金店頭,2018/03/28,9.59
T0311Y 第一金店頭,2018/03/27,9.64
T0311Y 第一金店頭,2018/03/26,9.57
T0311Y 第一金店頭,2018/03/23,9.41
T0311Y 第一金店頭,2018/03/22,9.56
T0311Y 第一金店頭,2018/03/21,9.7
T0311Y 第一金店頭,2018/03/20,9.62
T0311Y 第一金店頭,2018/03/19,9.62
T0311Y 第一金店頭,2018/03/16,9.58
T0311Y 第一金店頭,2018/03/15,9.56
T0311Y 第一金店頭,2018/03/14,9.61
T0311Y 第一金店頭,2018/03/13,9.62
T0311Y 第一金店頭,2018/03/12,9.59
T0311Y 第一金店頭,2018/03/09,9.45
T0311Y 第一金店頭,2018/03/08,9.36
T0311Y 第一金店頭,2018/03/07,9.32
T0311Y 第一金店頭,2018/03/06,9.27
T0311Y 第一金店頭,2018/03/05,9.12
T0311Y 第一金店頭,2018/03/02,9.22
T0311Y 第一金店頭,2018/03/01,9.3
T0311Y 第一金店頭,2018/02/27,9.27
T0311Y 第一金店頭,2018/02/26,9.31
T0311Y 第一金店頭,2018/02/23,9.18
T0311Y 第一金店頭,2018/02/22,9.16
T0311Y 第一金店頭,2018/02/21,9.14
T0311Y 第一金店頭,2018/02/12,8.75
T0311Y 第一金店頭,2018/02/09,8.73
T0311Y 第一金店頭,2018/02/08,8.85
T0311Y 第一金店頭,2018/02/07,9.05
