name,date,nav
T0108Y 兆豐國際電子,2019/05/29,24.02
T0108Y 兆豐國際電子,2019/05/28,24.12
T0108Y 兆豐國際電子,2019/05/27,24.1
T0108Y 兆豐國際電子,2019/05/24,24.25
T0108Y 兆豐國際電子,2019/05/23,24.33
T0108Y 兆豐國際電子,2019/05/22,24.8
T0108Y 兆豐國際電子,2019/05/21,24.8
T0108Y 兆豐國際電子,2019/05/20,24.78
T0108Y 兆豐國際電子,2019/05/17,25.07
T0108Y 兆豐國際電子,2019/05/16,25.88
T0108Y 兆豐國際電子,2019/05/15,26.58
T0108Y 兆豐國際電子,2019/05/14,26.16
T0108Y 兆豐國際電子,2019/05/13,26.18
T0108Y 兆豐國際電子,2019/05/10,26.71
T0108Y 兆豐國際電子,2019/05/09,26.83
T0108Y 兆豐國際電子,2019/05/08,27.45
T0108Y 兆豐國際電子,2019/05/07,27.51
T0108Y 兆豐國際電子,2019/05/06,27
T0108Y 兆豐國際電子,2019/05/03,27.63
T0108Y 兆豐國際電子,2019/05/02,27.24
T0108Y 兆豐國際電子,2019/04/30,27.27
T0108Y 兆豐國際電子,2019/04/29,26.85
T0108Y 兆豐國際電子,2019/04/26,27.25
T0108Y 兆豐國際電子,2019/04/25,27.79
T0108Y 兆豐國際電子,2019/04/24,27.52
T0108Y 兆豐國際電子,2019/04/23,27.52
T0108Y 兆豐國際電子,2019/04/22,27.6
T0108Y 兆豐國際電子,2019/04/19,27.39
T0108Y 兆豐國際電子,2019/04/18,27.18
T0108Y 兆豐國際電子,2019/04/17,27.42
T0108Y 兆豐國際電子,2019/04/16,27.33
T0108Y 兆豐國際電子,2019/04/15,27.24
T0108Y 兆豐國際電子,2019/04/12,26.92
T0108Y 兆豐國際電子,2019/04/11,27.05
T0108Y 兆豐國際電子,2019/04/10,27.07
T0108Y 兆豐國際電子,2019/04/09,27.01
T0108Y 兆豐國際電子,2019/04/08,27.04
T0108Y 兆豐國際電子,2019/04/03,26.46
T0108Y 兆豐國際電子,2019/04/02,26.36
T0108Y 兆豐國際電子,2019/04/01,26.11
T0108Y 兆豐國際電子,2019/03/29,26.02
T0108Y 兆豐國際電子,2019/03/28,25.75
T0108Y 兆豐國際電子,2019/03/27,25.78
T0108Y 兆豐國際電子,2019/03/26,25.78
T0108Y 兆豐國際電子,2019/03/25,25.63
T0108Y 兆豐國際電子,2019/03/22,25.99
T0108Y 兆豐國際電子,2019/03/21,25.94
T0108Y 兆豐國際電子,2019/03/20,25.8
T0108Y 兆豐國際電子,2019/03/19,25.75
T0108Y 兆豐國際電子,2019/03/18,25.65
T0108Y 兆豐國際電子,2019/03/15,25.34
T0108Y 兆豐國際電子,2019/03/14,25.1
T0108Y 兆豐國際電子,2019/03/13,25.04
T0108Y 兆豐國際電子,2019/03/12,24.91
T0108Y 兆豐國際電子,2019/03/11,24.83
T0108Y 兆豐國際電子,2019/03/08,24.8
T0108Y 兆豐國際電子,2019/03/07,24.78
T0108Y 兆豐國際電子,2019/03/06,25.07
T0108Y 兆豐國際電子,2019/03/05,24.9
T0108Y 兆豐國際電子,2019/03/04,25.08
T0108Y 兆豐國際電子,2019/02/27,25.05
T0108Y 兆豐國際電子,2019/02/26,25.12
T0108Y 兆豐國際電子,2019/02/25,25.27
T0108Y 兆豐國際電子,2019/02/22,24.96
T0108Y 兆豐國際電子,2019/02/21,24.94
T0108Y 兆豐國際電子,2019/02/20,24.94
T0108Y 兆豐國際電子,2019/02/19,24.65
