name,date,nav
T0516Y 元大巴菲特基金,2019/5/29,24.73
T0516Y 元大巴菲特基金,2019/5/28,24.72
T0516Y 元大巴菲特基金,2019/5/27,24.64
T0516Y 元大巴菲特基金,2019/5/24,24.72
T0516Y 元大巴菲特基金,2019/5/23,24.79
T0516Y 元大巴菲特基金,2019/5/22,25.14
T0516Y 元大巴菲特基金,2019/5/21,25.21
T0516Y 元大巴菲特基金,2019/5/20,25.03
T0516Y 元大巴菲特基金,2019/5/17,25.05
T0516Y 元大巴菲特基金,2019/5/16,25.31
T0516Y 元大巴菲特基金,2019/5/15,25.47
T0516Y 元大巴菲特基金,2019/5/14,25.24
T0516Y 元大巴菲特基金,2019/5/13,25.39
T0516Y 元大巴菲特基金,2019/5/10,25.62
T0516Y 元大巴菲特基金,2019/5/9,25.6
T0516Y 元大巴菲特基金,2019/5/8,26.15
T0516Y 元大巴菲特基金,2019/5/7,26.29
T0516Y 元大巴菲特基金,2019/5/6,25.91
T0516Y 元大巴菲特基金,2019/5/3,26.42
T0516Y 元大巴菲特基金,2019/5/2,26.37
T0516Y 元大巴菲特基金,2019/4/30,26.27
T0516Y 元大巴菲特基金,2019/4/29,26.06
T0516Y 元大巴菲特基金,2019/4/26,26.26
T0516Y 元大巴菲特基金,2019/4/25,26.54
T0516Y 元大巴菲特基金,2019/4/24,26.41
T0516Y 元大巴菲特基金,2019/4/23,26.32
T0516Y 元大巴菲特基金,2019/4/22,26.4
T0516Y 元大巴菲特基金,2019/4/19,26.43
T0516Y 元大巴菲特基金,2019/4/18,26.45
T0516Y 元大巴菲特基金,2019/4/17,26.56
T0516Y 元大巴菲特基金,2019/4/16,26.54
T0516Y 元大巴菲特基金,2019/4/15,26.41
T0516Y 元大巴菲特基金,2019/4/12,26.19
T0516Y 元大巴菲特基金,2019/4/11,26.27
T0516Y 元大巴菲特基金,2019/4/10,26.41
T0516Y 元大巴菲特基金,2019/4/9,26.36
T0516Y 元大巴菲特基金,2019/4/8,26.26
T0516Y 元大巴菲特基金,2019/4/3,26.12
T0516Y 元大巴菲特基金,2019/4/2,26.03
T0516Y 元大巴菲特基金,2019/4/1,25.94
T0516Y 元大巴菲特基金,2019/3/29,26.09
T0516Y 元大巴菲特基金,2019/3/28,25.94
T0516Y 元大巴菲特基金,2019/3/27,25.9
T0516Y 元大巴菲特基金,2019/3/26,25.86
T0516Y 元大巴菲特基金,2019/3/25,25.77
T0516Y 元大巴菲特基金,2019/3/22,26.02
T0516Y 元大巴菲特基金,2019/3/21,26.02
T0516Y 元大巴菲特基金,2019/3/20,25.91
T0516Y 元大巴菲特基金,2019/3/19,25.8
T0516Y 元大巴菲特基金,2019/3/18,25.7
T0516Y 元大巴菲特基金,2019/3/15,25.52
T0516Y 元大巴菲特基金,2019/3/14,25.3
T0516Y 元大巴菲特基金,2019/3/13,25.26
T0516Y 元大巴菲特基金,2019/3/12,25.13
T0516Y 元大巴菲特基金,2019/3/11,24.95
T0516Y 元大巴菲特基金,2019/3/8,24.86
T0516Y 元大巴菲特基金,2019/3/7,24.97
T0516Y 元大巴菲特基金,2019/3/6,25.07
T0516Y 元大巴菲特基金,2019/3/5,24.93
T0516Y 元大巴菲特基金,2019/3/4,25.04
T0516Y 元大巴菲特基金,2019/2/27,25.05
T0516Y 元大巴菲特基金,2019/2/26,25.07
T0516Y 元大巴菲特基金,2019/2/25,25.11
T0516Y 元大巴菲特基金,2019/2/22,25.09
T0516Y 元大巴菲特基金,2019/2/21,25.18
T0516Y 元大巴菲特基金,2019/2/20,25.11
T0516Y 元大巴菲特基金,2019/2/19,24.97
T0516Y 元大巴菲特基金,2019/2/18,24.92
T0516Y 元大巴菲特基金,2019/2/15,24.78
T0516Y 元大巴菲特基金,2019/2/14,24.75
T0516Y 元大巴菲特基金,2019/2/13,24.64
T0516Y 元大巴菲特基金,2019/2/12,24.78
T0516Y 元大巴菲特基金,2019/2/11,24.67
T0516Y 元大巴菲特基金,2019/1/30,24.59
T0516Y 元大巴菲特基金,2019/1/29,24.45
T0516Y 元大巴菲特基金,2019/1/28,24.5
T0516Y 元大巴菲特基金,2019/1/25,24.48
T0516Y 元大巴菲特基金,2019/1/24,24.37
T0516Y 元大巴菲特基金,2019/1/23,24.38
T0516Y 元大巴菲特基金,2019/1/22,24.5
T0516Y 元大巴菲特基金,2019/1/21,24.47
T0516Y 元大巴菲特基金,2019/1/18,24.35
